Date,Open,High,Low,Close,Volume,Open Interest
9/1/94,23.11825375,23.14419656,22.78099719,23.04042531,239281,262045
9/2/94,23.06636812,23.87059531,22.5993975,22.62534031,515914,292063
9/6/94,22.65128312,22.70316875,21.97677,22.1843125,276263,296301
9/7/94,22.21025531,22.33996937,21.7692275,21.89894156,345379,312632
9/8/94,21.95082719,22.23619812,21.79517031,21.92488437,226783,308407
9/9/94,21.92488437,22.05459844,20.42020125,20.54991531,627281,343086
9/12/94,20.57585812,20.78340062,20.47208687,20.54991531,240058,339524
9/13/94,20.54991531,21.04282875,20.29048719,20.75745781,541072,349626
9/14/94,20.88717187,21.12065719,20.57585812,21.04282875,261267,347749
9/15/94,21.01688594,21.45791375,20.99094312,21.3541425,254124,351363
9/16/94,21.40602812,21.45791375,19.87540219,20.1088875,563418,379772
9/19/94,20.18671594,20.5239725,20.13483031,20.47208687,205517,378546
9/20/94,20.39425844,20.44614406,19.74568812,20.23860156,390463,392493
9/21/94,20.26454437,20.49802969,19.82351656,20.03105906,483801,397114
9/22/94,19.95323062,20.36831562,19.92728781,20.23860156,341078,388620
9/23/94,20.21265875,20.49802969,19.87540219,20.13483031,312101,393470
9/26/94,20.13483031,20.39425844,20.00511625,20.13483031,178853,386515
9/27/94,20.1088875,20.13483031,19.59003125,19.66785969,296319,387858
9/28/94,19.66785969,20.36831562,19.64191687,20.03105906,422175,394650
9/29/94,19.97917344,20.16077312,19.35654594,19.64191687,426427,396507
9/30/94,19.6938025,20.05700187,19.48626,19.84945937,365017,397536
10/3/94,19.77163094,20.05700187,19.40843156,19.56408844,272575,398008
10/4/94,19.59003125,19.74568812,19.30466031,19.35654594,245866,395876
10/5/94,19.33060312,19.38248875,18.68203281,18.88957531,392246,396320
10/6/94,18.88957531,19.09711781,18.81174687,18.83768969,213579,392342
10/7/94,18.75986125,19.35654594,18.241005,19.25277469,598941,410617
10/10/94,19.30466031,19.46031719,19.14900344,19.43437437,47125,403582
10/11/94,19.43437437,20.00511625,19.43437437,19.71974531,341994,412391
10/12/94,19.66785969,19.71974531,19.48626,19.53814562,196519,399433
10/13/94,19.43437437,20.36831562,19.40843156,20.00511625,472345,406249
10/14/94,19.87540219,20.36831562,19.40843156,20.18671594,454175,405614
10/17/94,20.21265875,20.29048719,19.82351656,20.16077312,231467,403582
10/18/94,20.26454437,20.44614406,19.901345,19.92728781,314500,397726
10/19/94,19.82351656,19.84945937,19.48626,19.61597406,287643,394087
10/20/94,19.61597406,19.6938025,18.73391844,18.75986125,488157,400071
10/21/94,18.78580406,19.01928937,18.52637594,18.99334656,358674,393585
10/24/94,18.99334656,19.12306062,18.4485475,18.57826156,221683,394796
10/25/94,18.52637594,18.70797562,18.18911937,18.47449031,413166,396416
10/26/94,18.50043312,18.78580406,18.18911937,18.4485475,348974,390012
10/27/94,18.39666187,18.68203281,18.31883344,18.55231875,253774,380484
10/28/94,18.52637594,19.46031719,18.16317656,19.35654594,564257,398812
10/31/94,19.38248875,19.40843156,19.04523219,19.35654594,240085,387423
11/1/94,19.35654594,19.35654594,18.42260469,18.47449031,407392,388605
11/2/94,18.4485475,18.63014719,18.0334625,18.29289062,523191,386691
11/3/94,18.241005,18.39666187,17.95563406,18.08534812,311734,384407
11/4/94,18.11129094,18.60420437,17.56649187,17.59243469,462673,396911
11/7/94,17.56649187,17.74809156,17.43677781,17.64432031,226300,392282
11/8/94,17.67026312,18.11129094,17.59243469,18.0334625,301228,385940
11/9/94,18.11129094,18.57826156,18.0334625,18.39666187,468803,393900
11/10/94,18.37071906,18.96740375,17.87780562,17.90374844,650239,396159
11/11/94,17.85186281,17.92969125,17.43677781,17.46272062,95872,390871
11/14/94,17.46272062,18.4485475,17.46272062,18.42260469,322156,391601
11/15/94,18.4485475,19.17494625,18.13723375,18.83768969,454568,390069
11/16/94,18.60420437,19.2787175,18.21506219,18.31883344,550582,404466
11/17/94,18.39666187,18.47449031,17.67026312,18.00751969,511544,399928
11/18/94,18.0334625,18.21506219,17.74809156,18.05940531,360030,408031
11/21/94,18.08534812,18.26694781,17.95563406,18.08534812,194463,372281
11/22/94,18.08534812,18.52637594,18.08534812,18.37071906,332712,345260
11/23/94,18.47449031,19.92728781,18.47449031,19.71974531,468249,323087
11/25/94,19.53814562,19.97917344,19.48626,19.87540219,112906,312551
11/28/94,19.87540219,19.901345,19.2787175,19.51220281,350235,285032
11/29/94,19.53814562,19.59003125,18.88957531,19.09711781,152872,219013
11/30/94,19.04523219,19.6938025,18.91551812,19.64191687,66458,184328
12/1/94,19.66785969,19.66785969,19.14900344,19.38248875,316892,249208
12/2/94,19.51220281,20.39425844,18.81174687,20.31643,613745,289725
12/5/94,20.31643,20.54991531,19.97917344,20.1088875,357141,310450
12/6/94,20.13483031,21.06877156,20.08294469,21.04282875,439965,312969
12/7/94,21.04282875,21.04282875,20.05700187,20.36831562,432581,316196
12/8/94,20.42020125,20.54991531,20.1088875,20.5239725,255089,315974
12/9/94,20.60180094,21.04282875,20.57585812,20.88717187,341854,321578
12/12/94,20.78340063,20.80934344,20.18671594,20.34237281,210225,328122
12/13/94,20.34237281,20.88717187,19.97917344,20.83528625,453133,339815
12/14/94,20.80934344,21.25037125,20.57585812,20.731515,380277,357183
12/15/94,20.70557219,20.96500031,20.5239725,20.731515,233571,354334
12/16/94,20.75745781,20.9390575,20.57585812,20.80934344,167795,346356
12/19/94,20.78340063,21.09471437,20.731515,21.01688594,118122,352559
12/20/94,21.01688594,21.1466,20.80934344,20.86122906,183228,352125
12/21/94,20.91311469,21.17254281,20.83528625,21.04282875,100503,350101
12/22/94,20.99094312,21.06877156,20.70557219,20.86122906,136259,348989
12/23/94,20.88717187,21.17254281,20.86122906,21.12065719,54640,342652
12/27/94,21.12065719,21.84705594,21.12065719,21.82111312,131941,340331
12/28/94,21.79517031,21.87299875,21.04282875,21.06877156,153951,343200
12/29/94,21.06877156,21.38008531,20.78340063,20.83528625,139860,344271
12/30/94,20.88717187,21.01688594,20.42020125,20.57585812,89025,337095
1/3/95,20.67962937,20.70557219,20.13483031,20.21265875,195548,342063
1/4/95,20.23860156,20.99094312,20.23860156,20.96500031,286169,354944
1/5/95,20.9390575,20.96500031,20.31643,20.39425844,250579,348444
1/6/95,20.47208687,20.99094312,20.03105906,20.78340063,545072,363479
1/9/95,20.78340063,20.80934344,20.29048719,20.5239725,231443,357598
1/10/95,20.54991531,20.99094312,20.39425844,20.78340063,405621,356505
1/11/95,20.78340063,21.22442844,20.65368656,20.9390575,412609,369511
1/12/95,20.96500031,21.17254281,20.47208687,20.54991531,401533,374638
1/13/95,20.57585812,21.63951344,20.54991531,21.38008531,493525,371419
1/17/95,21.45791375,21.63951344,21.01688594,21.50979937,326504,364548
1/18/95,21.53574219,21.74328469,21.3541425,21.561685,346195,371858
1/19/95,21.58762781,21.69139906,21.17254281,21.25037125,389232,369050
1/20/95,21.22442844,21.27631406,20.60180094,20.62774375,371677,369707
1/23/95,20.67962937,20.75745781,20.34237281,20.62774375,252434,361518
1/24/95,20.65368656,20.67962937,20.44614406,20.5239725,159833,358971
1/25/95,20.5239725,21.04282875,20.18671594,21.01688594,381964,366132
1/26/95,20.99094312,21.3541425,20.78340063,21.32819969,347689,357840
1/27/95,21.30225687,22.36591219,21.27631406,22.33996937,477196,366331
1/30/95,22.26214094,22.41779781,22.02865563,22.10648406,264634,348474
1/31/95,22.10648406,22.5993975,21.92488437,22.49562625,420195,353043
2/1/95,22.54751187,22.80694,22.23619812,22.26214094,351846,351839
2/2/95,22.21025531,22.23619812,21.97677,22.10648406,265061,348700
2/3/95,22.13242687,23.68899562,22.10648406,23.55928156,622477,364169
2/6/95,23.35173906,23.40362469,23.11825375,23.27391063,219389,350519
2/7/95,23.222025,23.58522437,23.14419656,23.19608219,306196,350084
2/8/95,23.17013937,23.32579625,22.96259687,23.14419656,278623,347114
2/9/95,23.14419656,23.24796781,22.78099719,22.80694,375002,345154
2/10/95,22.85882562,23.50739594,22.31402656,22.57345469,529937,347937
2/13/95,22.62534031,22.67722594,22.33996937,22.5993975,185082,337535
2/14/95,22.62534031,23.19608219,22.62534031,23.17013937,391453,335079
2/15/95,23.19608219,23.97436656,22.98853969,23.50739594,657217,343462
2/16/95,23.50739594,23.89653812,23.14419656,23.53333875,551128,328296
2/17/95,23.55928156,23.55928156,23.19608219,23.37768187,213139,312600
2/21/95,23.32579625,23.40362469,23.06636812,23.14419656,148885,295849
2/22/95,23.11825375,23.94842375,23.0144825,23.92248094,448115,305903
2/23/95,23.94842375,24.38945156,23.53333875,23.58522437,579875,260691
2/24/95,23.61116719,24.00030937,23.35173906,23.76682406,380334,253744
2/27/95,23.94842375,24.36350875,23.89653812,24.2597375,264412,226112
2/28/95,24.36350875,24.59699406,23.76682406,24.57105125,473664,201187
3/1/95,24.57105125,24.90830781,24.28568031,24.54510844,77423,174963
3/2/95,24.54510844,24.64887969,23.87059531,24.07813781,405839,215231
3/3/95,24.13002344,24.20785187,23.29985344,23.61116719,476226,243388
